,Title,Distributor,AvgPerShow$,Net$,Gross$,Admissions,NumberShows,vote_average,popularity,adult,release_date,original_language,revenue,runtime,budget
0,100 YEAR OLD MAN,Music Box Films,71.19,2150.08,2278.0,247,31.99887624666386,0.0,0.6,False,2018-02-18,nl,0.0,0.0,0.0
1,12 YEARS A SLAVE,Fox Searchlight,114.52,12964.87,13972.0,1647,122.00488997555013,7.951,33.867,False,2013-10-18,en,187000000.0,134.0,20000000.0
2,127 HOURS,Fox Searchlight,99.27,10025.95,10622.0,1297,107.00110808905006,7.059,30.055,False,2010-11-12,en,35692920.0,94.0,18000000.0
3,2017 OSCAR ANIMATED SHORT,,82.8,390.54,414.0,46,5.0,,,,,,,,
4,2017 OSCAR DOC SHORT A,,76.6,361.58,383.0,43,5.0,,,,,,,,
5,2017 OSCAR DOC SHORT B,,52.71,348.09,369.0,41,7.000569151963574,,,,,,,,
6,2017 OSCAR LIVE ACT SHORT,,85.6,404.03,428.0,48,5.0,,,,,,,,
7,20TH CENTURY WOMEN,A24,118.38,3351.43,3551.5,389,30.000844737286705,7.345,18.55,False,2016-12-28,en,5664764.0,119.0,7000000.0
8,42,WARNER BROS.,115.12,7992.45,8634.0,1004,75.0,0.0,0.6,False,,es,0.0,0.0,0.0
9,45 YEARS,IFC,114.74,7472.88,7917.0,868,68.99947707861251,0.0,0.6,False,2008-06-10,en,0.0,76.0,0.0
10,5 FLIGHTS UP,Focus Features,92.15,9304.87,9860.5,1074,107.00488334237656,6.0,8.546,False,2014-09-05,en,1020921.0,92.0,6000000.0
11,50/50,Summit Entertainment,78.74,6842.16,7244.5,894,92.00533401066802,0.0,0.6,False,2017-06-27,ja,0.0,0.0,0.0
12,71,roadside attractions,80.47,3795.26,4023.5,430,50.0,0.0,0.6,False,2016-10-16,en,0.0,0.0,0.0
13,99 HOMES,Broadgreen Pictures,46.04,1565.1,1657.5,181,36.00130321459601,6.753,10.67,False,2015-09-25,en,1411927.0,112.0,8000000.0
14,A BETTER LIFE,,71.22,3228.04,3418.5,433,47.99915754001685,0.0,0.6,False,2000-11-16,en,0.0,12.0,0.0
15,A BIGGER SPLASH,FOX,72.34,1981.12,2098.0,228,29.001935305501796,0.0,0.6,False,2010-08-16,en,0.0,5.0,0.0
16,A BRILLIANT YOUNG MIND,IDP,47.75,1532.45,1623.5,176,34.0,6.703,8.88,False,2014-03-13,en,0.0,111.0,0.0
17,A DANGEROUS METHOD,SPC,127.11,4887.79,5211.5,645,40.999921327983635,0.0,2.017,False,2022-04-01,en,0.0,78.0,0.0
18,A DIFFERENT DRUMMER,FILMFEST 52,360.0,679.02,720.0,74,2.0,0.0,0.6,False,,en,0.0,28.0,0.0
19,A FIVE STAR LIFE,Music Box Films,78.65,2294.72,2438.0,297,30.99809281627463,5.737,6.58,False,2013-04-24,it,0.0,85.0,0.0
20,A LATE QUARTET,,94.51,3764.45,4064.0,494,43.00074066236377,2.0,0.916,False,2013-02-05,en,0.0,8.0,0.0
21,A MAN CALLED OVE,Music Box,168.79,13059.71,13841.0,1495,82.00130339475088,7.601,11.802,False,2015-12-25,sv,30692889.0,116.0,0.0
22,A MOST WANTED MAN,roadside attractions,177.15,13161.0,13995.0,1652,79.0008467400508,6.3,1.143,False,1953-12-02,fr,0.0,105.0,0.0
23,A QUIET PASSION,Music Box,92.69,4461.71,4727.0,521,50.99795015643543,6.1,9.447,False,2016-10-07,en,1864266.0,125.0,8138338.0
24,A SEPARATION,SPC,144.6,8299.0,8965.0,1074,61.99861687413555,0.0,0.6,False,2008-10-10,tr,0.0,0.0,0.0
25,A SINGLE MAN,weinstein,156.96,5781.4,6121.5,805,39.00038226299694,2.0,0.6,False,1974-07-19,ko,0.0,85.0,0.0
26,A TOUCH OF SIN,,146.0,135.8,146.0,18,1.0,7.204,12.528,False,2013-10-04,zh,154120.0,131.0,0.0
27,A WALK IN THE WOODS,Broadgreen Pictures,109.18,9272.1,9826.5,1065,90.00274775599927,0.0,0.6,False,2021-03-27,it,0.0,35.0,0.0
28,ABOUT TIME,Universal Pictures,105.02,4763.05,5146.0,599,49.00019043991621,0.0,0.6,False,2006-01-01,sv,0.0,6.0,0.0
29,ABSOLUTELY FABULOUS,FOX,119.5,7779.48,8245.5,876,69.0,4.977,3.893,False,2001-08-29,fr,0.0,105.0,0.0
30,ACAD AWARD ANIMATED SHORT,,181.0,340.13,362.0,39,2.0,,,,,,,,
31,ACADEMY AWARD NOM DOCS,,172.0,161.68,172.0,19,1.0,,,,,,,,
32,ACADEMY AWARD NOM SHORTS,,170.0,314.5,340.0,38,2.0,,,,,,,,
33,ADJUSTMENT BUREAU,Universal Pictures,99.6,9499.96,10059.5,1237,100.99899598393574,6.717,17.954,False,2011-03-03,en,127869379.0,106.0,50200000.0
34,ADMISSION,Focus Features,83.82,6908.0,7460.0,874,89.00023860653782,0.0,1.091,False,1953-01-01,en,0.0,23.0,0.0
35,ALBERT NOBBS,roadside attractions,150.2,7521.87,7960.5,1031,52.999334221038616,6.299,12.475,False,2011-12-21,en,5634828.0,113.0,8000000.0
36,ALICE IN WONDERLAND,Disney,70.37,5049.96,5348.0,662,75.99829472786698,0.0,0.6,False,,en,0.0,0.0,0.0
37,ALL GOOD THINGS,Magnolia,52.12,2954.56,3127.0,401,59.996162701458175,10.0,0.693,False,2020-11-15,en,0.0,3.0,100.0
38,ALL IS LOST,roadside attractions,98.15,6452.7,6969.0,828,71.00356597045338,0.0,0.6,False,,en,0.0,0.0,0.0
39,ALLIED,paramount,110.76,7527.01,7975.0,864,72.00252798844348,0.0,0.6,False,2014-11-07,en,0.0,0.0,0.0
40,ALOHA,SONY,37.43,2118.75,2245.5,239,59.99198503873898,6.0,0.6,False,1942-01-02,en,0.0,8.0,0.0
41,AMERICAN HUSTLE,SONY,239.76,34610.35,37402.0,4335,155.99766433099768,6.7,6.281,False,2007-01-01,en,0.0,90.0,0.0
42,AMERICAN SNIPER,WARNER BROS.,168.06,22196.1,23529.0,2493,140.0035701535166,7.0,1.579,False,2010-01-09,en,0.0,88.0,0.0
43,AMOUR,SPC,93.91,9391.1,10142.0,1235,107.9970184218933,6.0,8.001,False,2018-10-10,fr,1399479.0,0.0,495343.0
44,AMY,A24,121.72,7118.82,7546.5,783,61.99884981925731,5.2,0.6,False,1979-11-07,en,0.0,34.0,0.0
45,AN EDUCATION,SPC,101.47,7284.66,7712.0,985,76.00275943628658,5.7,7.703,False,2015-08-21,en,0.0,90.0,0.0
46,AN INCONVENIENT SEQUEL,paramount,49.37,2470.85,2616.5,288,52.99777192627102,6.7,8.95,False,2017-07-28,en,5398976.0,100.0,1000000.0
47,ANNA KARENINA,Focus Features,180.32,18530.55,20016.0,2388,111.00266193433896,6.0,0.6,False,1975-10-18,ru,0.0,75.0,0.0
